name,versions,fmts,fmt_str,dataset,module_type,network_architecture,author
bert_en_cased_L-12_H-768_A-12@@tensorflow,1,1,saved_model_2,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_cased_L-24_H-1024_A-16@@tensorflow,1,1,saved_model_2,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_uncased_L-12_H-768_A-12@@tensorflow,1,1,saved_model_2,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_uncased_L-24_H-1024_A-16@@tensorflow,1,1,saved_model_2,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_wwm_cased_L-24_H-1024_A-16@@tensorflow,1,1,saved_model_2,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_wwm_uncased_L-24_H-1024_A-16@@tensorflow,1,1,saved_model_2,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_multi_cased_L-12_H-768_A-12@@google,1,1,hub,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_multi_cased_L-12_H-768_A-12@@tensorflow,1,1,saved_model_2,Multilingual Wikipedia,text-embedding,Transformer,1
bert_uncased_L-12_H-768_A-12@@google,1,1,hub,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_uncased_L-24_H-1024_A-16@@google,1,1,hub,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_zh_L-12_H-768_A-12@@tensorflow,1,1,saved_model_2,Wikipedia,text-embedding,Transformer,1
bigbigan-resnet50@@deepmind,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BigBiGAN,1
bigbigan-revnet50x4@@deepmind,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BigBiGAN,1
biggan-128@@deepmind,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN,2
biggan-256@@deepmind,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN,2
biggan-512@@deepmind,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN,2
biggan-deep-128@@deepmind,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN-deep,1
biggan-deep-256@@deepmind,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN-deep,1
biggan-deep-512@@deepmind,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN-deep,1
compare_gan-model_10_lsun_bedroom_resnet19@@google,1,1,hub,LSUN Bedroom,image-generator,ResNet19,1
compare_gan-model_11_cifar10_resnet_cifar@@google,1,1,hub,CIFAR-10,image-generator,ResNet CIFAR,1
compare_gan-model_12_cifar10_resnet_cifar@@google,1,1,hub,CIFAR-10,image-generator,ResNet CIFAR,1
compare_gan-model_13_cifar10_resnet_cifar@@google,1,1,hub,CIFAR-10,image-generator,ResNet CIFAR,1
compare_gan-model_14_cifar10_resnet_cifar@@google,1,1,hub,CIFAR-10,image-generator,ResNet CIFAR,1
compare_gan-model_15_cifar10_resnet_cifar@@google,1,1,hub,CIFAR-10,image-generator,ResNet CIFAR,1
compare_gan-model_1_celebahq128_resnet19@@google,1,1,hub,CelebA HQ,image-generator,ResNet19,1
compare_gan-model_2_celebahq128_resnet19@@google,1,1,hub,CelebA HQ,image-generator,ResNet19,1
compare_gan-model_3_lsun_bedroom_resnet19@@google,1,1,hub,LSUN Bedroom,image-generator,ResNet19,1
compare_gan-model_4_lsun_bedroom_resnet19@@google,1,1,hub,LSUN Bedroom,image-generator,ResNet19,1
compare_gan-model_5_celebahq128_resnet19@@google,1,1,hub,CelebA HQ,image-generator,ResNet19,1
compare_gan-model_6_celebahq128_resnet19@@google,1,1,hub,CelebA HQ,image-generator,ResNet19,1
compare_gan-model_7_lsun_bedroom_resnet19@@google,1,1,hub,LSUN Bedroom,image-generator,ResNet19,1
compare_gan-model_8_lsun_bedroom_resnet19@@google,1,1,hub,LSUN Bedroom,image-generator,ResNet19,1
compare_gan-model_9_celebahq128_resnet19@@google,1,1,hub,CelebA HQ,image-generator,ResNet19,1
compare_gan-s3gan_10_128x128@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BiGAN,1
compare_gan-s3gan_10_256x256@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BiGAN,1
compare_gan-s3gan_20_128x128@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BiGAN,1
compare_gan-s3gan_2_5_128x128@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BiGAN,1
compare_gan-s3gan_5_128x128@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BiGAN,1
compare_gan-ssgan_128x128@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN,1
cond-biggan@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,BigGAN,1
delf@@google,1,1,hub,None,image-others,DELF,1
efficientnet-b0-classification@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B0,1
efficientnet-b0-feature-vector@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B0,1
efficientnet-b1-classification@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B1,1
efficientnet-b1-feature-vector@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B1,1
efficientnet-b2-classification@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B2,1
efficientnet-b2-feature-vector@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B2,1
efficientnet-b3-classification@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B3,1
efficientnet-b3-feature-vector@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B3,1
efficientnet-b4-classification@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B4,1
efficientnet-b4-feature-vector@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B4,1
efficientnet-b5-classification@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B5,1
efficientnet-b5-feature-vector@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B5,1
efficientnet-b6-classification@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B6,1
efficientnet-b6-feature-vector@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B6,1
efficientnet-b7-classification@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B7,1
efficientnet-b7-feature-vector@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B7,1
efficientnet-lite0-classification@@tensorflow,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B0,1
efficientnet-lite0-feature-vector@@tensorflow,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B0,1
efficientnet-lite1-classification@@tensorflow,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B1,1
efficientnet-lite1-feature-vector@@tensorflow,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B1,1
efficientnet-lite2-classification@@tensorflow,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B2,1
efficientnet-lite2-feature-vector@@tensorflow,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B2,1
efficientnet-lite3-classification@@tensorflow,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B3,1
efficientnet-lite3-feature-vector@@tensorflow,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B3,1
efficientnet-lite4-classification@@tensorflow,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B4,1
efficientnet-lite4-feature-vector@@tensorflow,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B4,1
elmo@@google,3,1,hub,1 Billion Word Benchmark,text-embedding,ELMo,3
esrgan-tf2@@captain-pool,1,1,saved_model_2,DIV2K,image-super-resolution,GAN,1
exemplar@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
faster_rcnn-openimages_v4-inception_resnet_v2@@google,1,1,hub,OpenImagesV4,image-object-detection,Faster R-CNN,1
ganeval-cifar10-convnet@@deepmind,1,1,hub,CIFAR-10,image-classification,VGG-style,1
i3d-kinetics-400@@deepmind,1,1,hub,Kinetics-400,video-classification,I3D,1
i3d-kinetics-600@@deepmind,1,1,hub,Kinetics-600,video-classification,I3D,1
image_augmentation-crop_color@@google,1,1,hub,None,image-augmentation,None,1
image_augmentation-crop_rotate_color@@google,1,1,hub,None,image-augmentation,None,1
image_augmentation-flipx_crop_rotate_color@@google,1,1,hub,None,image-augmentation,None,1
image_augmentation-nas_cifar@@google,1,1,hub,CIFAR-10,image-augmentation,None,1
image_augmentation-nas_imagenet@@google,1,1,hub,ImageNet,image-augmentation,None,1
image_augmentation-nas_svhn@@google,1,1,hub,SVHN,image-augmentation,None,1
imagenet-amoebanet_a_n18_f448-classification@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,AmoebaNet-A (N=18| F=448),1
imagenet-amoebanet_a_n18_f448-feature_vector@@google,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,AmoebaNet-A (N=18| F=448),1
imagenet-inception_resnet_v2-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,Inception ResNet V2,3
imagenet-inception_resnet_v2-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,Inception ResNet V2,3
imagenet-inception_v1-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,Inception V1,3
imagenet-inception_v1-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,Inception V1,3
imagenet-inception_v2-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,Inception V2,3
imagenet-inception_v2-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,Inception V2,3
imagenet-inception_v3-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,Inception V3,3
imagenet-inception_v3-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,Inception V3,3
imagenet-mobilenet_v1_025_128-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_025_128-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_025_128-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_025_128-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_025_160-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_025_160-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_025_160-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_025_160-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_025_192-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_025_192-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_025_192-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_025_192-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_025_224-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_025_224-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_025_224-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_025_224-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_050_128-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_050_128-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_050_128-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_050_128-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_050_160-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_050_160-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_050_160-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_050_160-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_050_192-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_050_192-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_050_192-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_050_192-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_050_224-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_050_224-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_050_224-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_050_224-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_075_128-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_075_128-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_075_128-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_075_128-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_075_160-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_075_160-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_075_160-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_075_160-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_075_192-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_075_192-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_075_192-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_075_192-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_075_224-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_075_224-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_075_224-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_075_224-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_100_128-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_100_128-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_100_128-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_100_128-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_100_160-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_100_160-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_100_160-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_100_160-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_100_192-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_100_192-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_100_192-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_100_192-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_100_224-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_100_224-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_100_224-quantops-classification@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_100_224-quantops-feature_vector@@google,2,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v2_035_128-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_035_128-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_035_160-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_035_160-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_035_192-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_035_192-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_035_224-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_035_224-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_035_96-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_035_96-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_050_128-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_050_128-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_050_160-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_050_160-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_050_192-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_050_192-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_050_224-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_050_224-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_050_96-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_050_96-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_075_128-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_075_128-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_075_160-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_075_160-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_075_192-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_075_192-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_075_224-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_075_224-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_075_96-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_075_96-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_100_128-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_100_128-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_100_160-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_100_160-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_100_192-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
