name,dataset,module_type,network_architecture,author
ganeval-cifar10-convnet@@deepmind,CIFAR-10,image-classification,VGG-style,1
i3d-kinetics-400@@deepmind,Kinetics-400,video-classification,I3D,1
i3d-kinetics-600@@deepmind,Kinetics-600,video-classification,I3D,1
image_augmentation-crop_color@@google,None,image-augmentation,None,1
image_augmentation-crop_rotate_color@@google,None,image-augmentation,None,1
image_augmentation-flipx_crop_rotate_color@@google,None,image-augmentation,None,1
image_augmentation-nas_cifar@@google,CIFAR-10,image-augmentation,None,1
image_augmentation-nas_imagenet@@google,ImageNet,image-augmentation,None,1
image_augmentation-nas_svhn@@google,SVHN,image-augmentation,None,1
imagenet-amoebanet_a_n18_f448-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,AmoebaNet-A (N=18| F=448),1
imagenet-amoebanet_a_n18_f448-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,AmoebaNet-A (N=18| F=448),1
imagenet-inception_resnet_v2-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,Inception ResNet V2,3
imagenet-inception_resnet_v2-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,Inception ResNet V2,3
imagenet-inception_v1-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,Inception V1,3
imagenet-inception_v1-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,Inception V1,3
imagenet-inception_v2-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,Inception V2,3
imagenet-inception_v2-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,Inception V2,3
imagenet-inception_v3-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,Inception V3,3
imagenet-inception_v3-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,Inception V3,3
imagenet-mobilenet_v1_025_128-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_025_128-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_025_128-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_025_128-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_025_160-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_025_160-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_025_160-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_025_160-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_025_192-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_025_192-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_025_192-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_025_192-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_025_224-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_025_224-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_025_224-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_025_224-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_050_128-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_050_128-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_050_128-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_050_128-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_050_160-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_050_160-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_050_160-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_050_160-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_050_192-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_050_192-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_050_192-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_050_192-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_050_224-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_050_224-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_050_224-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_050_224-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_075_128-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_075_128-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_075_128-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_075_128-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_075_160-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_075_160-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_075_160-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_075_160-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_075_192-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_075_192-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_075_192-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_075_192-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_075_224-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_075_224-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_075_224-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_075_224-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_100_128-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_100_128-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_100_128-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_100_128-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_100_160-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_100_160-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_100_160-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_100_160-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_100_192-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_100_192-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_100_192-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_100_192-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v1_100_224-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,3
imagenet-mobilenet_v1_100_224-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,3
imagenet-mobilenet_v1_100_224-quantops-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V1,2
imagenet-mobilenet_v1_100_224-quantops-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V1,2
imagenet-mobilenet_v2_035_128-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_035_128-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_035_160-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_035_160-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_035_192-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_035_192-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_035_224-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_035_224-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_035_96-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_035_96-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_050_128-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_050_128-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_050_160-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_050_160-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_050_192-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_050_192-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_050_224-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_050_224-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_050_96-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_050_96-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_075_128-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_075_128-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_075_160-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_075_160-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_075_192-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_075_192-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_075_224-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_075_224-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_075_96-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_075_96-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_100_128-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_100_128-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_100_160-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_100_160-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_100_192-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_100_192-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_100_224-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_100_224-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_100_96-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_100_96-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_130_224-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_130_224-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_140_224-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_140_224-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-nasnet_large-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,NASNet-A (large),3
imagenet-nasnet_large-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,NASNet-A (large),3
imagenet-nasnet_mobile-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,NASNet-A (mobile),3
imagenet-nasnet_mobile-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,NASNet-A (mobile),3
imagenet-pnasnet_large-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,PNASNet-5 (large),4
imagenet-pnasnet_large-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,PNASNet-5 (large),4
imagenet-resnet_v1_101-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V1 101,3
imagenet-resnet_v1_101-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V1 101,3
imagenet-resnet_v1_152-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V1 152,3
imagenet-resnet_v1_152-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V1 152,3
imagenet-resnet_v1_50-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V1 50,3
imagenet-resnet_v1_50-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V1 50,3
imagenet-resnet_v2_101-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V2 101,3
imagenet-resnet_v2_101-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V2 101,3
imagenet-resnet_v2_152-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V2 152,3
imagenet-resnet_v2_152-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V2 152,3
imagenet-resnet_v2_50-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V2 50,3
imagenet-resnet_v2_50-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V2 50,3
inaturalist-inception_v3-feature_vector@@google,iNaturalist (iNat) 2017,image-feature-vector,Inception V3,3
jigsaw@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
llr-pretrain-adv-latents@@deepmind,birds-or-bicycles,image-classifier,ResNet-152,1
llr-pretrain-adv-linear@@deepmind,birds-or-bicycles,image-classifier,ResNet-152,1
local-linearity-cifar10@@deepmind,cifar10,image-classifier,Wide-ResNet-40-8,1
local-linearity-imagenet@@deepmind,imagenet,image-classifier,ResNet-152,1
magenta-arbitrary-image-stylization-v1-256@@google,Multiple,image-style-transfer,Other,2
mil-nce-i3d@@deepmind,None,video-text,I3D,1
mil-nce-s3d@@deepmind,None,video-text,S3D,1
nnlm-de-dim128-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-de-dim128@@google,Google News,text-embedding,NNLM,2
nnlm-de-dim50-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-de-dim50@@google,Google News,text-embedding,NNLM,2
nnlm-en-dim128-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-en-dim128@@google,Google News,text-embedding,NNLM,2
nnlm-en-dim50-with-normalization@@google,Google News,text-embedding,NNLM,2
